datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-06 23:58:00.000000000,1767715080000000000,104860,104860,104840,104840,3,29218,29216
2026-01-06 23:59:00.000000000,1767715140000000000,104840,104840,104840,104840,2,29216,29215
2026-01-07 00:00:00.000000000,1767715200000000000,104840,104840,104840,104840,1,29215,29214
2026-01-07 00:01:00.000000000,1767715260000000000,104840,104870,104840,104870,1,29214,29215
2026-01-07 00:02:00.000000000,1767715320000000000,104870,104870,104800,104800,1,29215,29215
2026-01-07 00:03:00.000000000,1767715380000000000,104800,104870,104800,104870,1,29215,29215
2026-01-07 00:04:00.000000000,1767715440000000000,104870,104870,104830,104830,2,29215,29215
2026-01-07 00:05:00.000000000,1767715500000000000,104830,104830,104700,104700,8,29215,29217
2026-01-07 00:06:00.000000000,1767715560000000000,104700,104780,104700,104780,5,29217,29215
2026-01-07 00:07:00.000000000,1767715620000000000,104780,104780,104670,104670,4,29215,29219
2026-01-07 00:08:00.000000000,1767715680000000000,104670,104710,104630,104630,8,29219,29218
2026-01-07 00:09:00.000000000,1767715740000000000,104630,104750,104630,104750,7,29218,29219
2026-01-07 00:10:00.000000000,1767715800000000000,104750,104750,104700,104700,1,29219,29219
2026-01-07 00:11:00.000000000,1767715860000000000,104700,104720,104700,104720,1,29219,29219
2026-01-07 00:12:00.000000000,1767715920000000000,104720,104750,104670,104750,3,29219,29217
2026-01-07 00:13:00.000000000,1767715980000000000,104750,104750,104750,104750,0,29217,29217
2026-01-07 00:14:00.000000000,1767716040000000000,104750,104790,104750,104790,3,29217,29214
2026-01-07 00:15:00.000000000,1767716100000000000,104790,104790,104750,104750,4,29214,29213
2026-01-07 00:16:00.000000000,1767716160000000000,104750,104750,104700,104700,2,29213,29215
2026-01-07 00:17:00.000000000,1767716220000000000,104700,104700,104660,104660,3,29215,29214
2026-01-07 00:18:00.000000000,1767716280000000000,104660,104700,104660,104700,1,29214,29214
2026-01-07 00:19:00.000000000,1767716340000000000,104700,104700,104700,104700,0,29214,29214
2026-01-07 00:20:00.000000000,1767716400000000000,104700,104740,104700,104730,2,29214,29213
2026-01-07 00:21:00.000000000,1767716460000000000,104730,104730,104730,104730,0,29213,29213
2026-01-07 00:22:00.000000000,1767716520000000000,104730,104730,104710,104710,2,29213,29211
2026-01-07 00:23:00.000000000,1767716580000000000,104710,104750,104710,104750,1,29211,29210
2026-01-07 00:24:00.000000000,1767716640000000000,104750,104790,104750,104790,2,29210,29209
2026-01-07 00:25:00.000000000,1767716700000000000,104790,104790,104780,104780,1,29209,29208
2026-01-07 00:26:00.000000000,1767716760000000000,104780,104820,104780,104810,6,29208,29209
2026-01-07 00:27:00.000000000,1767716820000000000,104810,104830,104810,104830,5,29209,29208
2026-01-07 00:28:00.000000000,1767716880000000000,104830,104880,104830,104880,3,29208,29211
2026-01-07 00:29:00.000000000,1767716940000000000,104880,104910,104880,104910,2,29211,29211
