datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-06 21:04:00.000000000,1767704640000000000,144380,144380,144140,144140,4,2306,2305
2026-01-06 21:05:00.000000000,1767704700000000000,144140,144300,144120,144200,9,2305,2303
2026-01-06 21:06:00.000000000,1767704760000000000,144200,144680,144200,144500,18,2303,2304
2026-01-06 21:07:00.000000000,1767704820000000000,144500,144740,144500,144600,15,2304,2305
2026-01-06 21:08:00.000000000,1767704880000000000,144600,144760,144600,144660,9,2305,2307
2026-01-06 21:09:00.000000000,1767704940000000000,144660,144660,144570,144570,7,2307,2305
2026-01-06 21:10:00.000000000,1767705000000000000,144570,144750,144570,144750,1,2305,2306
2026-01-06 21:11:00.000000000,1767705060000000000,144750,145560,144750,145540,22,2306,2307
2026-01-06 21:12:00.000000000,1767705120000000000,145540,145550,145310,145390,19,2307,2309
2026-01-06 21:13:00.000000000,1767705180000000000,145390,145460,145180,145340,11,2309,2311
2026-01-06 21:14:00.000000000,1767705240000000000,145340,145400,145200,145240,5,2311,2310
2026-01-06 21:15:00.000000000,1767705300000000000,145240,145550,145240,145530,23,2310,2306
2026-01-06 21:16:00.000000000,1767705360000000000,145530,145720,145460,145720,11,2306,2308
2026-01-06 21:17:00.000000000,1767705420000000000,145720,145840,145720,145800,7,2308,2310
2026-01-06 21:18:00.000000000,1767705480000000000,145800,145800,145610,145670,7,2310,2308
2026-01-06 21:19:00.000000000,1767705540000000000,145670,145760,145670,145750,4,2308,2309
2026-01-06 21:20:00.000000000,1767705600000000000,145750,146000,145660,146000,15,2309,2313
2026-01-06 21:21:00.000000000,1767705660000000000,146000,146000,145700,145780,8,2313,2315
2026-01-06 21:22:00.000000000,1767705720000000000,145780,145780,145380,145380,3,2315,2315
2026-01-06 21:23:00.000000000,1767705780000000000,145380,145380,145010,145170,27,2315,2325
2026-01-06 21:24:00.000000000,1767705840000000000,145170,145380,145170,145380,12,2325,2324
2026-01-06 21:25:00.000000000,1767705900000000000,145380,145690,145340,145690,8,2324,2324
2026-01-06 21:26:00.000000000,1767705960000000000,145690,145690,145530,145530,3,2324,2322
2026-01-06 21:27:00.000000000,1767706020000000000,145530,145830,145530,145810,5,2322,2321
2026-01-06 21:28:00.000000000,1767706080000000000,145810,145810,145580,145580,1,2321,2322
2026-01-06 21:29:00.000000000,1767706140000000000,145580,145580,145100,145130,19,2322,2331
2026-01-06 21:30:00.000000000,1767706200000000000,145130,145160,144800,144910,26,2331,2336
2026-01-06 21:31:00.000000000,1767706260000000000,144910,144920,144830,144830,5,2336,2338
2026-01-06 21:32:00.000000000,1767706320000000000,144830,144830,144830,144830,0,2338,2338
2026-01-06 21:33:00.000000000,1767706380000000000,144830,144840,144780,144780,15,2338,2349
2026-01-06 21:34:00.000000000,1767706440000000000,144780,144780,144230,144260,32,2349,2349
2026-01-06 21:35:00.000000000,1767706500000000000,144260,144260,143770,144080,33,2349,2352
2026-01-06 21:36:00.000000000,1767706560000000000,144080,144080,143760,143760,34,2352,2355
2026-01-06 21:37:00.000000000,1767706620000000000,143760,144100,143650,144080,15,2355,2351
2026-01-06 21:38:00.000000000,1767706680000000000,144080,144110,143940,143940,7,2351,2351
2026-01-06 21:39:00.000000000,1767706740000000000,143940,143940,143510,143670,4,2351,2349
2026-01-06 21:40:00.000000000,1767706800000000000,143670,143960,143540,143960,17,2349,2345
2026-01-06 21:41:00.000000000,1767706860000000000,143960,144080,143960,144080,3,2345,2344
2026-01-06 21:42:00.000000000,1767706920000000000,144080,144310,144080,144310,2,2344,2342
2026-01-06 21:43:00.000000000,1767706980000000000,144310,144380,144190,144190,7,2342,2344
2026-01-06 21:44:00.000000000,1767707040000000000,144190,144190,143920,143920,1,2344,2344
2026-01-06 21:45:00.000000000,1767707100000000000,143920,144310,143920,144310,1,2344,2345
2026-01-06 21:46:00.000000000,1767707160000000000,144310,144310,144300,144300,1,2345,2345
2026-01-06 21:47:00.000000000,1767707220000000000,144300,144300,144210,144210,2,2345,2344
2026-01-06 21:48:00.000000000,1767707280000000000,144210,144210,144010,144010,1,2344,2343
2026-01-06 21:49:00.000000000,1767707340000000000,144010,144010,143980,143980,1,2343,2344
2026-01-06 21:50:00.000000000,1767707400000000000,143980,143990,143980,143990,1,2344,2343
2026-01-06 21:51:00.000000000,1767707460000000000,143990,144470,143990,144470,5,2343,2342
2026-01-06 21:52:00.000000000,1767707520000000000,144470,144530,144470,144530,1,2342,2342
2026-01-06 21:53:00.000000000,1767707580000000000,144530,144680,144530,144680,1,2342,2341
2026-01-06 21:54:00.000000000,1767707640000000000,144680,144880,144680,144880,7,2341,2338
2026-01-06 21:55:00.000000000,1767707700000000000,144880,144890,144790,144790,2,2338,2338
2026-01-06 21:56:00.000000000,1767707760000000000,144790,144790,144790,144790,0,2338,2338
2026-01-06 21:57:00.000000000,1767707820000000000,144790,145000,144790,145000,1,2338,2339
2026-01-06 21:58:00.000000000,1767707880000000000,145000,145030,144880,144880,5,2339,2342
2026-01-06 21:59:00.000000000,1767707940000000000,144880,144880,144880,144880,0,2342,2342
2026-01-06 22:00:00.000000000,1767708000000000000,144880,145250,144880,145250,3,2342,2342
2026-01-06 22:01:00.000000000,1767708060000000000,145250,145260,145250,145260,1,2342,2342
2026-01-06 22:02:00.000000000,1767708120000000000,145260,145260,145260,145260,0,2342,2342
2026-01-06 22:03:00.000000000,1767708180000000000,145260,145260,145150,145230,2,2342,2342
2026-01-06 22:04:00.000000000,1767708240000000000,145230,145230,145230,145230,0,2342,2342
2026-01-06 22:05:00.000000000,1767708300000000000,145230,145260,145230,145260,1,2342,2341
2026-01-06 22:06:00.000000000,1767708360000000000,145260,145410,145260,145360,2,2341,2341
2026-01-06 22:07:00.000000000,1767708420000000000,145360,145550,145200,145200,7,2341,2339
2026-01-06 22:08:00.000000000,1767708480000000000,145200,145200,145200,145200,0,2339,2339
2026-01-06 22:09:00.000000000,1767708540000000000,145200,145330,145200,145330,3,2339,2337
2026-01-06 22:10:00.000000000,1767708600000000000,145330,145330,145330,145330,0,2337,2337
2026-01-06 22:11:00.000000000,1767708660000000000,145330,145440,145320,145330,4,2337,2337
2026-01-06 22:12:00.000000000,1767708720000000000,145330,145330,145330,145330,0,2337,2337
2026-01-06 22:13:00.000000000,1767708780000000000,145330,145330,144990,145080,17,2337,2346
2026-01-06 22:14:00.000000000,1767708840000000000,145080,145080,145010,145010,1,2346,2345
2026-01-06 22:15:00.000000000,1767708900000000000,145010,145010,145010,145010,0,2345,2345
2026-01-06 22:16:00.000000000,1767708960000000000,145010,145010,145010,145010,0,2345,2345
2026-01-06 22:17:00.000000000,1767709020000000000,145010,145010,145010,145010,0,2345,2345
2026-01-06 22:18:00.000000000,1767709080000000000,145010,145010,145010,145010,0,2345,2345
2026-01-06 22:19:00.000000000,1767709140000000000,145010,145010,145010,145010,0,2345,2345
2026-01-06 22:20:00.000000000,1767709200000000000,145010,145130,145010,145130,1,2345,2345
2026-01-06 22:21:00.000000000,1767709260000000000,145130,145130,145130,145130,0,2345,2345
2026-01-06 22:22:00.000000000,1767709320000000000,145130,145130,145130,145130,0,2345,2345
2026-01-06 22:23:00.000000000,1767709380000000000,145130,145610,145130,145540,2,2345,2345
2026-01-06 22:24:00.000000000,1767709440000000000,145540,145540,145540,145540,0,2345,2345
2026-01-06 22:25:00.000000000,1767709500000000000,145540,145540,145540,145540,0,2345,2345
2026-01-06 22:26:00.000000000,1767709560000000000,145540,145540,145190,145240,2,2345,2344
2026-01-06 22:27:00.000000000,1767709620000000000,145240,145240,145240,145240,0,2344,2344
2026-01-06 22:28:00.000000000,1767709680000000000,145240,145240,145240,145240,0,2344,2344
2026-01-06 22:29:00.000000000,1767709740000000000,145240,145640,145240,145470,3,2344,2346
2026-01-06 22:30:00.000000000,1767709800000000000,145470,145600,145470,145600,1,2346,2346
2026-01-06 22:31:00.000000000,1767709860000000000,145600,145670,145600,145670,6,2346,2349
2026-01-06 22:32:00.000000000,1767709920000000000,145670,145670,145670,145670,0,2349,2349
2026-01-06 22:33:00.000000000,1767709980000000000,145670,145670,145670,145670,0,2349,2349
2026-01-06 22:34:00.000000000,1767710040000000000,145670,145670,145550,145550,3,2349,2348
2026-01-06 22:35:00.000000000,1767710100000000000,145550,145550,145550,145550,0,2348,2348
